Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
53;Bretagne;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;2165;436;0;226;0;94;0;45;1364;0;0;20.14;30.58;0.0;;10.44;11.48;0.0;0.0;4.34;34.18;2.08;56.96;
32;Hauts-de-France;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;4913;834;3522;533;0;5;0;98;-76;-3;0;16.98;34.84;71.69;64.51;10.85;8.01;0.0;0.0;0.1;125.0;1.99;50.0;
27;Bourgogne-Franche-Comté;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;2060;0;0;104;0;3;0;30;1924;-2;0;0.0;0.0;0.0;;5.05;8.72;0.0;0.0;0.15;0.58;1.46;37.04;
76;Occitanie;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;4484;0;0;820;0;1615;0;92;2012;-2;0;0.0;0.0;0.0;0.0;18.29;45.05;0.0;0.0;36.02;30.17;2.05;59.74;
11;Île-de-France;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;6330;0;0;44;0;16;0;159;6112;0;0;0.0;0.0;0.0;;0.7;31.65;0.0;0.0;0.25;84.21;2.51;44.92;
75;Nouvelle-Aquitaine;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;4199;20;5219;539;0;68;0;51;-1706;0;8;0.48;3.66;124.29;78.72;12.84;24.36;0.0;0.0;1.62;3.03;1.21;14.7;
52;Pays de la Loire;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;2820;443;0;991;0;9;0;104;1274;-2;0;15.71;22.41;0.0;;35.14;40.56;0.0;0.0;0.32;90.0;3.69;114.29;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;4502;1182;0;1;0;1131;0;137;2051;0;0;26.25;44.93;0.0;;0.02;0.83;0.0;0.0;25.12;35.06;3.04;46.13;
28;Normandie;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;2516;90;8480;87;0;10;0;87;-6238;0;0;3.58;11.8;337.04;69.17;3.46;5.23;0.0;0.0;0.4;34.48;3.46;58.78;
24;Centre-Val de Loire;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;2036;0;9118;500;0;25;0;30;-7636;0;0;0.0;0.0;447.84;78.4;24.56;27.69;0.0;0.0;1.23;27.17;1.47;32.97;
44;Grand Est;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;4232;1636;6795;899;0;1227;0;104;-6203;-226;0;38.66;52.88;160.56;62.8;21.24;17.23;0.0;0.0;28.99;53.26;2.46;38.66;
84;Auvergne-Rhône-Alpes;Données temps réel;2026-07-01;00:00;2026-07-01T00:00:00+02:00;6550;383;4538;104;0;3766;0;81;-2320;-2;0;5.85;39.9;69.28;33.44;1.59;13.03;0.0;0.0;57.5;32.89;1.24;42.86;
75;Nouvelle-Aquitaine;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;4128;20;5220;529;0;69;0;51;-1766;-3;8;0.48;3.66;126.45;78.73;12.81;23.9;0.0;0.0;1.67;3.08;1.24;14.7;
32;Hauts-de-France;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;4928;863;3521;527;0;5;0;99;-85;-3;0;17.51;36.05;71.45;64.49;10.69;7.92;0.0;0.0;0.1;125.0;2.01;50.51;
27;Bourgogne-Franche-Comté;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;2018;0;0;111;0;3;0;30;1874;0;0;0.0;0.0;0.0;;5.5;9.31;0.0;0.0;0.15;0.58;1.49;37.04;
44;Grand Est;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;4268;1468;6880;868;0;1121;0;104;-6173;-1;1;34.4;47.45;161.2;63.59;20.34;16.64;0.0;0.0;26.27;48.65;2.44;38.66;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;4458;972;0;0;0;885;0;139;2462;0;0;21.8;36.94;0.0;;0.0;0.0;0.0;0.0;19.85;27.43;3.12;46.8;
53;Bretagne;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;2122;437;0;232;0;108;0;45;1300;0;0;20.59;30.65;0.0;;10.93;11.78;0.0;0.0;5.09;39.27;2.12;56.96;
52;Pays de la Loire;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;2825;443;0;878;0;9;0;104;1403;-13;0;15.68;22.41;0.0;;31.08;35.94;0.0;0.0;0.32;90.0;3.68;114.29;
28;Normandie;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;2511;89;8480;85;0;10;0;87;-6240;0;0;3.54;11.66;337.71;69.17;3.39;5.11;0.0;0.0;0.4;34.48;3.46;58.78;
24;Centre-Val de Loire;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;2005;0;9130;460;0;25;0;30;-7639;0;0;0.0;0.0;455.36;78.5;22.94;25.47;0.0;0.0;1.25;27.17;1.5;32.97;
76;Occitanie;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;4415;0;0;835;0;1607;-35;92;1969;0;0;0.0;0.0;0.0;0.0;18.91;45.88;0.0;0.0;36.4;30.02;2.08;59.74;
84;Auvergne-Rhône-Alpes;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;6458;379;4828;106;0;3952;0;81;-2887;0;0;5.87;39.48;74.76;35.58;1.64;13.28;0.0;0.0;61.2;34.51;1.25;42.86;
11;Île-de-France;Données temps réel;2026-07-01;00:15;2026-07-01T00:15:00+02:00;6224;0;0;38;0;16;0;157;6013;0;0;0.0;0.0;0.0;;0.61;27.34;0.0;0.0;0.26;84.21;2.52;44.35;
75;Nouvelle-Aquitaine;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;4030;20;5215;496;0;72;0;51;-1831;0;8;0.5;3.66;129.4;78.66;12.31;22.41;0.0;0.0;1.79;3.21;1.27;14.7;
28;Normandie;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;2444;89;8472;98;0;10;0;85;-6311;0;0;3.64;11.66;346.64;69.1;4.01;5.89;0.0;0.0;0.41;34.48;3.48;57.43;
53;Bretagne;Données temps réel;2026-07-01;00:30;2026-07-01T00:30:00+02:00;2048;437;0;277;0;144;0;45;1145;0;0;21.34;30.65;0.0;;13.53;14.07;0.0;0.0;7.03;52.36;2.2;56.96;
